Time(s)    x(m)   y(m)   vx(m/s)   vy(m/s) 
6.050000000000001 212.7427452423628 7.565947303557802 21.86971758474554 -13.79005441854608
6.100000000000001 213.8344937942975 6.870821052286324 21.80056966229444 -14.01475810588677
 6.15 214.922836489199 6.164495371152166 21.73347858729329 -14.23802911567796
  6.2 216.0078754647496 5.447042265282737 21.66841622626375 -14.45985266502652
 6.25 217.0897114599699 4.718534468889874 21.60535476409885 -14.68021437334485
6.300000000000001 218.1684438308248 3.979045425169012 21.54426669166196 -14.89910026179458
6.350000000000001 219.2441705652267 3.228649266223032 21.48512479410255 -15.11649675285369
  6.4 220.316988297472 2.467420793004939 21.42790213985521 -15.33239066999398
 6.45 221.386992322144 1.695435455274198 21.37257207028947 -15.54676923745462
  6.5 222.4542766075141 0.9127693315623054 21.31910818997898 -15.7596200800971
6.550000000000001 223.5189338084705 0.119499109143891 21.26748435756002 -15.97093122332607
6.600000000000001 224.581055279005 -0.6842979359895448 21.21767467715008 -16.18069109306056
 6.65 225.6407310842837 -1.498543959155374 21.16965349029904 -16.3888885157394
  6.7 226.6980500123278 -2.323160567006387 21.12339536844636 -16.59551271834518
 6.75 227.7530995853294 -3.158068837558668 21.07887510585903 -16.80055332843081
6.800000000000001 228.8059660706263 -4.003189340220532 21.03606771302639 -17.00400037413311
6.850000000000001 229.8567344913568 -4.858442155821511 20.9949484104891 -17.20584428415832
  6.9 230.9054886368169 -5.7237468966396 20.95549262308058 -17.40607588772492
 6.95 231.9523110725387 -6.599022726424281 20.91767597456055 -17.60468641444938
    7 232.9972831501107 -7.484188380412133 20.88147428262137 -17.8016674941618
7.050000000000001 234.0404850167574 -8.379162185331193 20.84686355424881 -17.99701115663832
7.100000000000001 235.0819956246942 -9.283862079389618 20.81381998141997 -18.19070983123867
 7.15 236.1218927402764 -10.19820563224361 20.7823199371219 -18.38275634643752
  7.2 237.1602529529572 -11.12211006493906 20.75233997167546 -18.57314392923956
 7.25 238.1971516840678 -12.0554922698208 20.72385680934961 -18.76186620446868
7.300000000000001 239.2326631954361 -12.99826883040301 20.69684734525222 -18.94891719392309
7.350000000000001 240.2668605978566 -13.95035604119391 20.67128864248409 -19.13429131538838
  7.4 241.2998158594244 -14.91166992746733 20.64715792954355 -19.31798338150218
 7.45 242.3315998137444 -15.88212626497375 20.6244325979696 -19.49998859846424
  7.5 243.36228216803 -16.86164059958281 20.60309020021212 -19.68030256458723
7.550000000000001 244.3919315110993 -17.85012826684939 20.5831084477181 -19.85892126868395
7.600000000000001 245.4206153212819 -18.84750441149476 20.56446520922347 -20.03584108828767
 7.65 246.4483999742444 -19.85368400679464 20.54713850924029 -20.21105878770308
  7.7 247.4753507507453 -20.86858187386543 20.53110652672969 -20.38457151588608
 7.75 248.5015318443282 -21.89211270084022 20.5163475939512 -20.55637680415126
7.800000000000001 249.5270063689613 -22.92419106192579 20.50284019547938 -20.72647256370677
7.850000000000001 250.5518363666319 -23.96473143633209 20.49056296737909 -20.89485708301686
  7.9 251.5760828149033 -25.01364822706552 20.47949469653095 -21.06152902499283
 7.95 252.599805634442 -26.07085577957749 20.46961432009879 -21.22648742401401
    8 253.6230636965211 -27.13626840025987 20.4609009251312 -21.38973168278054
8.050000000000001 254.6459148305075 -28.20980037477891 20.45333374828944 -21.5512615690006
  8.1 255.6684158313379 -29.29136598623936 20.44689217569426 -21.71107721191491
 8.15 256.6906224669904 -30.38087953317091 20.44155574288435 -21.86917909866179
8.200000000000001 257.7125894859567 -31.47825534732899 20.43730413487927 -22.02556807048659
 8.25 258.7343706247195 -32.58340781130213 20.43411718634008 -22.18024531879947
8.300000000000001 259.7560186152409 -33.69625137591861 20.43197488182086 -22.33321238108596
